station,lat,lon,hp,country,fog,visibility,datetime
BUDENNOVSK,4478,4413,135.87,Russian Federation,44,200 m,2025112318
NIZHNIJ NOVGOROD,5626,4400,157.3,Russian Federation,45,900 m,2025112318
PORT KEATS AIRPORT,-1423,12951,29,Australia,41,,2025112318
MOURGASH,4283,2366,1692,Bulgaria,45,below 100 m,2025112318
PODGORICA-GOLUBOVCI,4236,1925,33,Montenegro,46,700 m,2025112318
KALISZ,5176,1806,138,Poland,48,600 m,2025112318
VLADIMIR,5611,4035,172,Russian Federation,47,500 m,2025112318
ZILAIR,5223,5746,520.88,Russian Federation,47,500 m,2025112318
16779,3766,2633,,,41,,2025112318
EGVEKINOT,6635,18089,25.84,Russian Federation,46,500 m,2025112318
MALINOVKA,4978,12991,115.6,Russian Federation,40,over 50 km,2025112318
STEFAN-VODA,4650,2965,173,Republic of Moldova,45,500 m,2025112318
KONSTANTINOVSK,4758,4110,62.04,Russian Federation,45,200 m,2025112318
VARFU OMU,4543,2545,2511.4,Romania,41,500 m,2025112318
BLAGODARNYJ,4510,4345,162.5,Russian Federation,45,500 m,2025112318
DANDONG,4005,12433,14,China,B46,below 100 m,2025112318
YASHKUL',4618,4535,-6.71,Russian Federation,47,500 m,2025112318
VOLGOGRAD,4878,4436,134,Russian Federation,47,100 m,2025112318
ORUMIEH,3765,4505,1328,"Iran, Islamic Republic of",44,800 m,2025112318
KARABULAK,5233,4636,301.72,Russian Federation,45,200 m,2025112318
KRASNOSCEL'E,6735,3705,157.2,Russian Federation,49,200 m,2025112318
GAYA (42591-0),2475,8495,116,India,42,500 m,2025112318
SYR-DAR'JA,4081,6868,263,Uzbekistan,47,200 m,2025112318
WU LU MU QI,4378,8765,936,China,B45,below 100 m,2025112318
IKI-BURUL,4580,4463,112.99,Russian Federation,45,500 m,2025112318
STOCKTON/METROPOLITAN CA.,3790,23875,8,United States of America,41,below 100 m,2025112318
"NORWAY HOUSE, MAN",5395,26217,0,Canada,41,16 km,2025112318
MALYE DERBETY,4793,4470,9.27,Russian Federation,45,200 m,2025112318
KONOTOP,5123,3318,149,Ukraine,47,500 m,2025112318
KAZANSKAJA,4980,4115,71.51,Russian Federation,45,500 m,2025112318
BOGUCAR,4993,4056,83.57,Russian Federation,45,500 m,2025112318
